nama_file, red_avg, green_avg, blue_avg, h_avg, s_avg, v_avg
Hasil1/7/7_4.jpg, 123, 41, 18, 114, 232, 117
Hasil1/7/7_5.jpg, 138, 48, 21, 113, 233, 135
Hasil1/7/7_6.jpg, 172, 59, 29, 113, 227, 171
Hasil1/7/7_7.jpg, 112, 37, 20, 115, 235, 109
Hasil1/7/7_8.jpg, 109, 32, 16, 115, 236, 107
Hasil1/7/7_9.jpg, 122, 38, 21, 115, 234, 117
Hasil1/7/7_10.jpg, 152, 51, 26, 114, 231, 151
Hasil1/7/7_11.jpg, 149, 53, 29, 114, 227, 146
Hasil1/7/7_12.jpg, 151, 51, 27, 114, 229, 148
Hasil1/7/7_13.jpg, 110, 40, 17, 113, 232, 106
Hasil1/7/7_14.jpg, 150, 56, 24, 112, 233, 148
Hasil1/7/7_15.jpg, 116, 38, 17, 113, 238, 110
Hasil1/8/8_1.jpg, 111, 35, 14, 114, 236, 109
Hasil1/8/8_2.jpg, 112, 34, 15, 114, 236, 109
Hasil1/8/8_3.jpg, 177, 65, 32, 113, 221, 177
Hasil1/8/8_4.jpg, 165, 59, 27, 113, 226, 164
Hasil1/8/8_5.jpg, 165, 59, 26, 112, 228, 165
Hasil1/8/8_6.jpg, 143, 47, 24, 114, 229, 140
Hasil1/8/8_7.jpg, 106, 31, 14, 114, 237, 103
Hasil1/8/8_8.jpg, 103, 30, 14, 115, 237, 101
Hasil1/8/8_9.jpg, 115, 35, 18, 115, 235, 111
Hasil1/8/8_10.jpg, 107, 31, 15, 115, 238, 105
Hasil1/8/8_11.jpg, 105, 31, 14, 115, 238, 103
Hasil1/8/8_12.jpg, 115, 34, 16, 114, 236, 112
Hasil1/8/8_13.jpg, 116, 36, 18, 114, 235, 113
Hasil1/8/8_14.jpg, 138, 47, 19, 113, 236, 134
Hasil1/8/8_15.jpg, 114, 37, 16, 113, 240, 110
Hasil1/9/9_1.jpg, 112, 36, 17, 114, 235, 107
Hasil1/9/9_2.jpg, 103, 32, 17, 115, 232, 99
Hasil1/9/9_3.jpg, 178, 63, 33, 113, 221, 176
Hasil1/9/9_4.jpg, 149, 51, 23, 113, 233, 148
Hasil1/9/9_5.jpg, 143, 49, 23, 113, 231, 141
Hasil1/9/9_6.jpg, 169, 59, 33, 114, 221, 168
Hasil1/9/9_7.jpg, 170, 58, 30, 114, 225, 169
Hasil1/9/9_8.jpg, 129, 41, 20, 114, 234, 123
Hasil1/9/9_9.jpg, 110, 33, 17, 115, 235, 106
Hasil1/9/9_10.jpg, 127, 39, 21, 115, 233, 122
Hasil1/9/9_11.jpg, 127, 40, 21, 115, 233, 121
Hasil1/9/9_12.jpg, 147, 50, 27, 114, 227, 148
Hasil1/9/9_13.jpg, 176, 61, 28, 113, 229, 176
Hasil1/9/9_14.jpg, 131, 43, 20, 114, 233, 126
Hasil1/9/9_15.jpg, 131, 48, 28, 114, 226, 124
Hasil1/10/10_1.jpg, 134, 62, 16, 109, 240, 130
Hasil1/10/10_2.jpg, 183, 84, 27, 109, 233, 186
Hasil1/10/10_3.jpg, 169, 78, 28, 109, 229, 171
Hasil1/10/10_4.jpg, 136, 60, 18, 108, 239, 138
Hasil1/10/10_5.jpg, 144, 69, 18, 107, 240, 147
Hasil1/10/10_6.jpg, 145, 59, 22, 111, 235, 144
Hasil1/10/10_7.jpg, 123, 46, 16, 112, 241, 119
Hasil1/10/10_8.jpg, 170, 68, 25, 111, 234, 171
Hasil1/10/10_9.jpg, 160, 63, 20, 111, 238, 161
Hasil1/10/10_10.jpg, 172, 74, 28, 110, 233, 174
Hasil1/10/10_11.jpg, 130, 54, 16, 110, 239, 128
Hasil1/10/10_12.jpg, 135, 66, 16, 107, 240, 132
Hasil1/10/10_13.jpg, 134, 65, 16, 107, 242, 130
Hasil1/10/10_14.jpg, 165, 76, 21, 108, 238, 166
Hasil1/10/10_15.jpg, 151, 62, 21, 110, 235, 154
Hasil1/11/11_1.jpg, 148, 68, 15, 108, 242, 150
Hasil1/11/11_2.jpg, 160, 73, 18, 108, 239, 162
Hasil1/11/11_3.jpg, 154, 72, 19, 108, 239, 155
Hasil1/11/11_4.jpg, 171, 88, 23, 107, 236, 171
Hasil1/11/11_5.jpg, 166, 100, 22, 102, 238, 164
Hasil1/11/11_6.jpg, 130, 80, 13, 101, 244, 128
Hasil1/11/11_7.jpg, 173, 99, 22, 104, 236, 174
Hasil1/11/11_8.jpg, 171, 82, 22, 108, 239, 171
Hasil1/11/11_9.jpg, 178, 78, 28, 109, 231, 178
Hasil1/11/11_10.jpg, 168, 73, 22, 110, 235, 168
Hasil1/11/11_11.jpg, 146, 63, 16, 109, 240, 143
Hasil1/11/11_12.jpg, 211, 100, 32, 108, 223, 211
Hasil1/11/11_13.jpg, 129, 56, 16, 109, 240, 129
Hasil1/11/11_14.jpg, 139, 68, 17, 107, 237, 142
Hasil1/11/11_15.jpg, 175, 90, 24, 107, 234, 177
Hasil1/12/12_1.jpg, 148, 68, 18, 108, 238, 149
Hasil1/12/12_2.jpg, 137, 59, 15, 109, 240, 136
Hasil1/12/12_3.jpg, 122, 55, 14, 108, 241, 115
Hasil1/12/12_4.jpg, 134, 71, 19, 106, 238, 128
Hasil1/12/12_5.jpg, 139, 63, 17, 108, 237, 135
Hasil1/12/12_6.jpg, 116, 45, 15, 111, 240, 112
Hasil1/12/12_7.jpg, 125, 59, 16, 108, 241, 119
Hasil1/12/12_8.jpg, 169, 90, 27, 106, 232, 170
Hasil1/12/12_9.jpg, 165, 84, 25, 107, 236, 166
Hasil1/12/12_10.jpg, 156, 68, 26, 110, 231, 158
Hasil1/12/12_11.jpg, 157, 64, 24, 111, 235, 160
Hasil1/12/12_12.jpg, 137, 72, 22, 106, 236, 129
Hasil1/12/12_13.jpg, 167, 86, 24, 107, 236, 168
Hasil1/12/12_14.jpg, 140, 61, 17, 109, 239, 139
Hasil1/12/12_15.jpg, 141, 54, 19, 111, 237, 138
Hasil1/13/13_1.jpg, 126, 47, 23, 113, 232, 119
Hasil1/13/13_2.jpg, 125, 43, 16, 113, 234, 118
Hasil1/13/13_3.jpg, 131, 48, 20, 113, 233, 128
Hasil1/13/13_4.jpg, 141, 56, 25, 112, 230, 139
Hasil1/13/13_5.jpg, 136, 50, 20, 112, 235, 134
Hasil1/13/13_6.jpg, 164, 65, 33, 112, 220, 167
Hasil1/13/13_7.jpg, 181, 68, 34, 112, 223, 182
Hasil1/13/13_8.jpg, 175, 63, 29, 113, 229, 176
Hasil1/13/13_9.jpg, 145, 49, 22, 113, 234, 145
Hasil1/13/13_10.jpg, 164, 61, 32, 113, 225, 165
Hasil1/13/13_11.jpg, 172, 68, 35, 112, 220, 175
Hasil1/13/13_12.jpg, 120, 42, 20, 114, 234, 112
Hasil1/13/13_13.jpg, 110, 34, 15, 114, 236, 105
Hasil1/13/13_14.jpg, 116, 38, 18, 114, 237, 113
Hasil1/13/13_15.jpg, 110, 35, 17, 114, 239, 108
Hasil1/14/14_1.jpg, 114, 40, 17, 113, 236, 111
Hasil1/14/14_2.jpg, 144, 59, 34, 113, 221, 140
Hasil1/14/14_3.jpg, 149, 54, 25, 113, 230, 147
Hasil1/14/14_4.jpg, 169, 65, 29, 112, 231, 170
Hasil1/14/14_5.jpg, 175, 70, 29, 111, 229, 178
Hasil1/14/14_6.jpg, 129, 46, 24, 114, 233, 119
Hasil1/14/14_7.jpg, 160, 56, 26, 113, 231, 160
Hasil1/14/14_8.jpg, 152, 52, 21, 113, 235, 153
Hasil1/14/14_9.jpg, 169, 60, 25, 113, 231, 169
Hasil1/14/14_10.jpg, 128, 43, 20, 114, 233, 120
Hasil1/14/14_11.jpg, 151, 52, 22, 113, 235, 153
Hasil1/14/14_12.jpg, 111, 35, 15, 114, 239, 108
Hasil1/14/14_13.jpg, 128, 44, 16, 113, 237, 124
Hasil1/14/14_14.jpg, 133, 50, 18, 112, 238, 130
Hasil1/14/14_15.jpg, 141, 50, 20, 112, 235, 143
Hasil1/15/15_1.jpg, 107, 60, 7, 103, 248, 104
Hasil1/15/15_2.jpg, 158, 88, 18, 104, 239, 158
Hasil1/15/15_3.jpg, 171, 94, 21, 105, 237, 175
Hasil1/15/15_4.jpg, 169, 101, 21, 103, 240, 172
Hasil1/15/15_5.jpg, 163, 105, 19, 101, 242, 165
Hasil1/15/15_6.jpg, 177, 111, 21, 101, 239, 178
Hasil1/15/15_7.jpg, 144, 70, 18, 107, 242, 146
Hasil1/15/15_8.jpg, 188, 101, 30, 105, 234, 187
Hasil1/15/15_9.jpg, 169, 77, 23, 109, 232, 169
Hasil1/15/15_10.jpg, 173, 86, 24, 107, 237, 173
Hasil1/15/15_11.jpg, 134, 54, 14, 110, 242, 132
Hasil1/15/15_12.jpg, 176, 91, 26, 107, 236, 177
Hasil1/15/15_13.jpg, 170, 93, 21, 105, 243, 171
Hasil1/15/15_14.jpg, 163, 100, 19, 102, 242, 165
Hasil1/15/15_15.jpg, 173, 105, 23, 102, 241, 174
Hasil1/16/16_1.jpg, 122, 59, 12, 107, 243, 118
Hasil1/16/16_2.jpg, 152, 85, 17, 104, 239, 152
Hasil1/16/16_3.jpg, 160, 96, 21, 103, 238, 159
Hasil1/16/16_4.jpg, 122, 66, 12, 104, 246, 118
Hasil1/16/16_5.jpg, 125, 64, 14, 106, 241, 120
Hasil1/16/16_6.jpg, 139, 70, 17, 107, 238, 137
Hasil1/16/16_7.jpg, 186, 91, 30, 108, 229, 187
Hasil1/16/16_8.jpg, 173, 84, 26, 108, 235, 172
Hasil1/16/16_9.jpg, 160, 71, 22, 109, 234, 162
Hasil1/16/16_10.jpg, 163, 71, 23, 109, 234, 163
Hasil1/16/16_11.jpg, 202, 102, 34, 107, 226, 203
Hasil1/16/16_12.jpg, 182, 89, 28, 108, 230, 183
Hasil1/16/16_13.jpg, 203, 100, 35, 108, 224, 203
Hasil1/16/16_14.jpg, 110, 44, 12, 110, 242, 111
Hasil1/16/16_15.jpg, 160, 89, 23, 105, 237, 162
Hasil1/17/17_1.jpg, 121, 70, 14, 104, 241, 118
Hasil1/17/17_2.jpg, 173, 107, 24, 103, 234, 175
Hasil1/17/17_3.jpg, 133, 91, 13, 100, 244, 129
Hasil1/17/17_4.jpg, 133, 84, 13, 102, 242, 131
Hasil1/17/17_5.jpg, 154, 94, 21, 103, 236, 155
Hasil1/17/17_6.jpg, 158, 79, 21, 107, 237, 159
Hasil1/17/17_7.jpg, 156, 79, 23, 107, 234, 156
Hasil1/17/17_8.jpg, 175, 99, 26, 105, 235, 175
Hasil1/17/17_9.jpg, 138, 77, 17, 104, 242, 129
Hasil1/17/17_10.jpg, 180, 103, 26, 104, 236, 178
Hasil1/17/17_11.jpg, 144, 67, 18, 108, 239, 143
Hasil1/17/17_12.jpg, 130, 64, 16, 108, 240, 123
Hasil1/17/17_13.jpg, 111, 61, 11, 105, 245, 108
Hasil1/17/17_14.jpg, 156, 108, 22, 100, 236, 154
Hasil1/17/17_15.jpg, 126, 82, 13, 99, 246, 111
Hasil1/18/18_1.jpg, 105, 32, 14, 114, 236, 102
Hasil1/18/18_2.jpg, 124, 41, 18, 114, 232, 119
Hasil1/18/18_3.jpg, 114, 43, 22, 113, 224, 106
Hasil1/18/18_4.jpg, 163, 57, 29, 113, 225, 164
Hasil1/18/18_5.jpg, 181, 67, 34, 113, 220, 182
Hasil1/18/18_6.jpg, 127, 41, 20, 114, 232, 120
Hasil1/18/18_7.jpg, 103, 34, 17, 114, 228, 100
Hasil1/18/18_8.jpg, 105, 32, 16, 115, 238, 100
Hasil1/18/18_9.jpg, 104, 31, 16, 114, 235, 101
Hasil1/18/18_10.jpg, 164, 58, 30, 113, 220, 164
Hasil1/18/18_11.jpg, 107, 32, 16, 114, 237, 103
Hasil1/18/18_12.jpg, 109, 34, 16, 114, 237, 107
Hasil1/18/18_13.jpg, 114, 36, 15, 114, 238, 109
Hasil1/18/18_14.jpg, 153, 54, 22, 112, 234, 152
Hasil1/18/18_15.jpg, 143, 51, 25, 113, 225, 142
Hasil1/19/19_1.jpg, 138, 53, 21, 112, 233, 140
Hasil1/19/19_2.jpg, 177, 79, 25, 109, 234, 180
Hasil1/19/19_3.jpg, 143, 63, 15, 109, 241, 146
Hasil1/19/19_4.jpg, 167, 72, 26, 110, 231, 170
Hasil1/19/19_5.jpg, 137, 52, 20, 112, 233, 136
Hasil1/19/19_6.jpg, 172, 70, 25, 111, 233, 173
Hasil1/19/19_7.jpg, 138, 48, 17, 112, 239, 136
Hasil1/19/19_8.jpg, 132, 47, 19, 113, 239, 126
Hasil1/19/19_9.jpg, 145, 55, 17, 111, 238, 146
Hasil1/19/19_10.jpg, 131, 50, 16, 110, 240, 128
Hasil1/19/19_11.jpg, 166, 68, 22, 110, 236, 167
Hasil1/19/19_12.jpg, 155, 57, 21, 112, 236, 159
Hasil1/19/19_13.jpg, 171, 67, 27, 111, 232, 173
Hasil1/19/19_14.jpg, 132, 53, 16, 110, 239, 129
Hasil1/19/19_15.jpg, 136, 55, 15, 109, 243, 136
